date,checker,version,pass_rate,commit
2023-12-28,mypy,1.8.0,77.4,8aa8f8b6825ac3a28cb2a06d83c20174a94439da
2023-12-28,pyre,0.9.19,41.7,8aa8f8b6825ac3a28cb2a06d83c20174a94439da
2023-12-28,pyright,1.1.343,91.7,8aa8f8b6825ac3a28cb2a06d83c20174a94439da
2023-12-28,pytype,2023.12.18,33.3,8aa8f8b6825ac3a28cb2a06d83c20174a94439da
2024-01-03,mypy,1.8.0,77.4,c366858f36294152974a54d496db3f5c36b94714
2024-01-03,pyre,0.9.19,41.7,c366858f36294152974a54d496db3f5c36b94714
2024-01-03,pyright,1.1.343,91.7,c366858f36294152974a54d496db3f5c36b94714
2024-01-03,pytype,2023.12.18,33.3,c366858f36294152974a54d496db3f5c36b94714
2024-01-05,mypy,1.8.0,81.0,69d7412c1b381148b155a4c373baf29d0ffd31ac
2024-01-05,pyre,0.9.19,44.9,69d7412c1b381148b155a4c373baf29d0ffd31ac
2024-01-05,pyright,1.1.344,92.4,69d7412c1b381148b155a4c373baf29d0ffd31ac
2024-01-05,pytype,2023.12.18,41.8,69d7412c1b381148b155a4c373baf29d0ffd31ac
2024-01-12,mypy,1.8.0,75.5,bd0b42c9ddf8ab20b4407be82c920babc6436c43
2024-01-12,pyre,0.9.19,39.6,bd0b42c9ddf8ab20b4407be82c920babc6436c43
2024-01-12,pyright,1.1.345,94.3,bd0b42c9ddf8ab20b4407be82c920babc6436c43
2024-01-12,pytype,2023.12.18,34.4,bd0b42c9ddf8ab20b4407be82c920babc6436c43
2024-01-13,mypy,1.8.0,75.5,214295874485b59d1da564677dcef612e87b3801
2024-01-13,pyre,0.9.19,39.6,214295874485b59d1da564677dcef612e87b3801
2024-01-13,pyright,1.1.345,93.8,214295874485b59d1da564677dcef612e87b3801
2024-01-13,pytype,2023.12.18,34.4,214295874485b59d1da564677dcef612e87b3801
2024-01-15,pyright,1.1.345,92.7,55d90759d9317e36e118b69e4b6544dd9f38bce7
2024-01-15,mypy,1.8.0,75.5,0665b39be774fb1ca67fb8fec8b7ed6d06eec8ae
2024-01-15,pyre,0.9.19,39.6,0665b39be774fb1ca67fb8fec8b7ed6d06eec8ae
2024-01-15,pyright,1.1.347,96.9,0665b39be774fb1ca67fb8fec8b7ed6d06eec8ae
2024-01-15,pytype,2023.12.18,34.4,0665b39be774fb1ca67fb8fec8b7ed6d06eec8ae
2024-01-19,mypy,1.8.0,75.5,805fe84903fbaaeae7c7509d776ab16d474b551c
2024-01-19,pyre,0.9.19,40.5,805fe84903fbaaeae7c7509d776ab16d474b551c
2024-01-19,pyright,1.1.347,96.5,805fe84903fbaaeae7c7509d776ab16d474b551c
2024-01-19,pytype,2023.12.18,35.0,805fe84903fbaaeae7c7509d776ab16d474b551c
2024-01-21,pyright,1.1.347,96.5,be90544ea0d9f2e18e1cb61807bf38f333b77d57
2024-01-21,mypy,1.8.0,75.5,53846cc4c23e935efab03f68ce415cded90bd5b8
2024-01-21,pyre,0.9.19,40.5,53846cc4c23e935efab03f68ce415cded90bd5b8
2024-01-21,pyright,1.1.348,99.5,53846cc4c23e935efab03f68ce415cded90bd5b8
2024-01-21,pytype,2023.12.18,35.0,53846cc4c23e935efab03f68ce415cded90bd5b8
2024-01-25,mypy,1.8.0,75.5,aa93bf6db72ce6c1c7ce2f1bed645d9d94768861
2024-01-25,pyre,0.9.19,40.5,aa93bf6db72ce6c1c7ce2f1bed645d9d94768861
2024-01-25,pyright,1.1.348,99.5,aa93bf6db72ce6c1c7ce2f1bed645d9d94768861
2024-01-25,pytype,2024.01.24,35.5,aa93bf6db72ce6c1c7ce2f1bed645d9d94768861
2024-01-26,mypy,1.8.0,74.8,62daab20ba3ea124ac3702efc3266d241f8b4721
2024-01-26,pyre,0.9.19,41.1,62daab20ba3ea124ac3702efc3266d241f8b4721
2024-01-26,pyright,1.1.348,98.5,62daab20ba3ea124ac3702efc3266d241f8b4721
2024-01-26,pytype,2024.01.24,36.1,62daab20ba3ea124ac3702efc3266d241f8b4721
2024-01-29,mypy,1.8.0,74.8,a872359c5816bc7656c44673689a6cd40809a859
2024-01-29,pyre,0.9.19,41.1,a872359c5816bc7656c44673689a6cd40809a859
2024-01-29,pyright,1.1.349,99.5,a872359c5816bc7656c44673689a6cd40809a859
2024-01-29,pytype,2024.01.24,36.1,a872359c5816bc7656c44673689a6cd40809a859
2024-02-04,mypy,1.8.0,74.8,189350e3eb8777b4e8e9b399f9ad23a5babbfd50
2024-02-04,pyre,0.9.19,42.1,189350e3eb8777b4e8e9b399f9ad23a5babbfd50
2024-02-04,pyright,1.1.349,100.0,189350e3eb8777b4e8e9b399f9ad23a5babbfd50
2024-02-04,pytype,2024.01.24,37.1,189350e3eb8777b4e8e9b399f9ad23a5babbfd50
2024-02-11,mypy,1.8.0,74.8,cfc242e8e0f5be87f759d678cd1f1ed9ae35e19b
